campaign_id,platform,date,geo,device,campaign_type,ad_format,impressions,clicks,spend_usd,conversions
Holiday_Production_App_072,Google,2025-08-16,DE,mobile,video_views,search,43542,853,1234.23,15
BlackFriday_Garden_Video_124,TikTok,2025-08-16,JP,mobile,traffic,social,26767,236,225.01,3
Q2_Great_Brand_050,TikTok,2025-08-16,AU,mobile,retargeting,video,36935,574,602.54,6
Winter_Onto_Retarget_121,Google,2025-08-16,US,desktop,brand_awareness,social,40881,676,1426.99,3
Holiday_Sound_Traffic_216,Twitter,2025-08-16,JP,desktop,retargeting,social,0,0,0.0,0
BackToSchool_Article_Video_251,Google,2025-08-16,IN,mobile,conversions,shopping,31033,466,606.04,11
Q3_Write_Conversion_104,LinkedIn,2025-08-16,MX,mobile,retargeting,video,3071,28,102.52,1
Q2_Dinner_Video_048,Facebook,2025-08-16,US,mobile,traffic,search,15069,212,362.36,3
Q1_Themselves_Video_071,Google,2025-08-16,US,mobile,retargeting,video,61725,0,177.51,0
BlackFriday_I_Conversion_185,TikTok,2025-08-16,CA,mobile,lead_generation,display,12661,91,99.33,1
BackToSchool_Begin_Lead_015,LinkedIn,2025-08-16,IN,desktop,lead_generation,search,1833,27,86.48,0
Winter_About_Brand_210,LinkedIn,2025-08-16,GB,mobile,conversions,search,26288,195,1621.78,7
BackToSchool_Best_Retarget_052,Facebook,2025-08-16,JP,mobile,retargeting,remarketing,6544,83,94.07,1
BackToSchool_Pick_Conversion_182,Facebook,2025-08-16,US,mobile,conversions,remarketing,10452,116,267.0,2
BackToSchool_Prove_Conversion_094,LinkedIn,2025-08-16,CA,desktop,retargeting,remarketing,29016,377,1795.22,19
Q2_Expect_Retarget_117,TikTok,2025-08-16,US,mobile,video_views,search,35673,554,956.63,6
Q2_Result_App_105,Google,2025-08-16,US,mobile,traffic,video,65120,892,2295.25,13
Q1_Themselves_Video_071,LinkedIn,2025-08-16,NL,desktop,app_installs,remarketing,12483,151,769.37,5
BackToSchool_Middle_Video_241,LinkedIn,2025-08-16,CA,desktop,brand_awareness,display,16729,93,454.14,1
Q4_Specific_Conversion_202,Facebook,2025-08-16,IT,mobile,app_installs,video,0,0,0.0,0
Q3_Soon_Lead_262,Google,2025-08-16,NL,desktop,app_installs,remarketing,25055,486,871.8,18
Spring_Yes_Conversion_139,Facebook,2025-08-16,ES,mobile,retargeting,video,37577,666,653.26,13
Summer_Who_Brand_149,Google,2025-08-16,CA,mobile,brand_awareness,search,33838,483,554.67,2
Holiday_Support_Conversion_132,Google,2025-08-16,US,mobile,video_views,remarketing,58601,954,2395.79,18
Winter_Sure_Lead_041,LinkedIn,2025-08-16,BR,mobile,brand_awareness,video,29684,341,834.33,4
Holiday_They_Video_095,LinkedIn,2025-08-16,CA,mobile,traffic,remarketing,13599,114,539.64,5
BackToSchool_End_Conversion_295,LinkedIn,2025-08-16,US,desktop,lead_generation,display,6345,32,257.77,1
Winter_Animal_Conversion_061,Google,2025-08-16,JP,desktop,lead_generation,video,38367,699,904.82,17
Holiday_Anyone_Conversion_173,LinkedIn,2025-08-16,GB,mobile,lead_generation,social,0,0,0.0,0
Winter_Animal_Conversion_061,Google,2025-08-16,AU,mobile,traffic,social,0,0,0.0,0
Q3_Fall_Brand_036,Facebook,2025-08-16,FR,tablet,brand_awareness,shopping,62937,1041,976.26,3
Q4_Show_Retarget_281,Google,2025-08-16,SE,mobile,lead_generation,shopping,17197,280,428.99,4
BlackFriday_Serious_Retarget_142,Twitter,2025-08-16,US,mobile,video_views,shopping,25983,127,297.03,3
BackToSchool_Notice_Conversion_233,LinkedIn,2025-08-16,JP,desktop,video_views,remarketing,0,0,0.0,0
Winter_Long_Conversion_093,Google,2025-08-16,US,mobile,lead_generation,video,68826,940,2184.23,25
Winter_Bar_Conversion_068,Facebook,2025-08-16,US,mobile,lead_generation,search,32017,418,775.37,6
BackToSchool_Politics_App_108,LinkedIn,2025-08-16,US,mobile,app_installs,video,18075,189,1707.5,6
Winter_High_Retarget_166,Google,2025-08-16,IN,desktop,traffic,video,7593,151,157.97,3
Winter_Team_Video_260,Facebook,2025-08-16,NL,mobile,lead_generation,video,44189,457,541.34,9
Summer_Truth_Lead_221,Facebook,2025-08-16,CA,desktop,retargeting,display,41963,365,395.88,7
Q1_Special_Conversion_126,Google,2025-08-16,BR,mobile,conversions,search,39502,671,634.64,28
Winter_Company_Brand_271,TikTok,2025-08-16,CA,mobile,conversions,social,20989,295,360.63,6
Winter_Serve_App_213,TikTok,2025-08-16,DE,mobile,conversions,video,32664,666,809.91,10
Spring_Maintain_App_115,Google,2025-08-16,US,desktop,brand_awareness,search,32617,0,169.17,0
Winter_Your_Video_269,LinkedIn,2025-08-16,CA,desktop,brand_awareness,search,23792,263,1092.92,3
Q2_Usually_Conversion_148,Google,2025-08-16,US,mobile,traffic,social,39789,298,750.72,10
BackToSchool_White_Traffic_138,Google,2025-08-16,IN,desktop,traffic,remarketing,24657,589,517.06,22
Winter_Type_Lead_212,Facebook,2025-08-16,US,mobile,video_views,shopping,11839,126,240.64,2
Summer_Husband_Retarget_053,LinkedIn,2025-08-16,US,desktop,retargeting,social,9612,113,1086.46,3
BlackFriday_Benefit_Video_171,Facebook,2025-08-16,CA,mobile,brand_awareness,shopping,41875,667,518.79,3
Summer_Discussion_Traffic_033,Facebook,2025-08-16,US,mobile,app_installs,video,36283,415,823.77,6
Holiday_Option_Video_157,Google,2025-08-16,US,mobile,conversions,video,42982,535,1605.23,25
Summer_Song_Brand_040,Google,2025-08-16,MX,mobile,retargeting,social,10196,0,10.85,0
BlackFriday_Serious_Retarget_142,TikTok,2025-08-16,MX,tablet,lead_generation,shopping,24843,419,298.09,8
Summer_Notice_Retarget_279,Google,2025-08-16,US,mobile,retargeting,display,10618,63,166.11,1
